pr_id, title, body, date_published
711,Mayor Emanuel Opens Phase II of the Northeast Cargo Development and Announces Record Cargo Activity at O'Hare,Mayor Rahm Emanuel today joined the Chicago Department of Aviation (CDA)| Aeroterm and cargo executives for the opening of the second phase of the $220 million northeast cargo development at O’Hare International Airport. The new cargo facility opens ahead of schedule in direct response to the strong demand for moving air cargo through Chicago to markets around the world. In just under a year| the partial completion of the northeast cargo development has already created approximately 600 permanent jobs| outpacing earlier projections it would create 1|200 jobs when the project is complete. With O’Hare’s newest cargo development on track and ahead of schedule| air cargo volume is already up by 15 percent over last year| putting Chicago on pace to handle 1.8 million tonnes in 2017. This marks another record year for cargo at O’Hare—one of the nation's premier cargo airports. “The City of Chicago is making investments and improvements to ensure O’Hare has not only the best commercial service| but the best cargo space|” said Mayor Emanuel. “With the next step of this project complete| we are delivering on our promise to grow O’Hare’s capacity and competitiveness| and in turn| its ability in the long-term to provide thousands of new jobs and serve as an economic driver for our city.” The Northeast Cargo development expands and enhances the efficiency of the airport’s cargo operations at no cost to Chicago taxpayers| funded by a $160 million investment by Aeroterm and more than $62 million of airport funds. The 240|000-square-foot Phase II building is home to Burak| Cargolux and Swissport tenant operators. When complete| it will be the largest airside cargo development built in the last decade at a U.S. international gateway airport. “O’Hare has long been a leading airport for air cargo| and thanks to Aeroterm’s development| Chicago is processing record cargo volumes|” said Ginger S. Evans| CDA Commissioner. “The opening of both Phases I and II of our northeast cargo development ahead of schedule is a testament to the strong demand and the fact that businesses around the world are continuing to choose Chicago O’Hare as their preferred North American gateway.” Keeping pace with Phases I and II of the northeast cargo development| and to support the record growth of air cargo| Phase III is now expected to open in 2-3 years| also ahead of schedule. In total| these investments will create an estimated 10|000 new construction and permanent jobs| as well as hundreds of millions of dollars in new revenue for the City.  “There’s no better time to be investing in Chicago’s cargo operations| which is why Aeroterm is proud to partner with the City of Chicago as the developer of this major infrastructure project|” said Erin Gruver| Chief Development Officer| Aeroterm. “Not only will these investments our state of the art on-airport cargo warehousing support the rapid growth of cargo operations| but they will in turn improve efficiency of O’Hare’s airfield and facilitate healthy economic growth for years to come.” Expanding new cargo warehouse capacity provides O’Hare the ability to process a greater volume of air cargo in a number of ways. The addition of 747-8 capable aircraft ramps provides 50 percent additional capacity to handle cargo from jumbo jet freighters; and in its final form the northeast cargo development will deliver 800|000 square-feet of warehousing and apron pavement. These investments will make way for up to 15 wide body aircraft to unload at any given time at O’Hare. And with each jumbo jet freighter estimated to deliver cargo valued at $3 million on average| this is expected to drive hundreds of millions in economic benefit for the City and surrounding region. In addition to the new capacity afforded by the northeast cargo campus| Chicago’s surge in cargo activity is due in large part to its central geography and strong network of transportation infrastructure. Chicago has surpassed its large hub peer airports as the top destination for air trade with China| and trade with Asian countries continues to grow each year as new capacity becomes available at O’Hare. The northeast cargo development follows on a series of initiatives by the Emanuel Administration to invest in the modernization of O’Hare. The City recently announced the establishment of a new| uniform rate structure for aeronautical real estate leases at O’Hare International Airport that will generate $41 million in additional annual revenue for the City to invest in airport improvement projects at O’Hare. Also expected to expand capacity and establish modern facilities for O’Hare’s future is Mayor Emanuel’s O’Hare 21 vision—a multi-billion capital program designed to modernize terminals| expand gates| and improve connectivity at O'Hare. O'Hare 21 is expected to support tens of thousands of new jobs| add to incentives for companies to relocate| and further increase economic activity throughout the region.,August 17| 2017
712,Statement from Mayor Rahm Emanuel| CPS CEO Forrest Claypool and CPS Chief Education Officer Janice Jackson,“At the same time the President of the United States is throwing his arms around neo-Nazis and Klansmen| Governor Rauner’s brain trust at the Illinois Policy Institute weighed in on the SB1 debate by publishing an unambiguously racist cartoon. The critical debate over education funding in this state should be about ensuring a better future for students in every corner of Illinois| regardless of race| income or zip code – and not as an opportunity to divide us further. It’s particularly frustrating because CPS students are making historic academic gains. In fact| three CPS high schools were recently recognized among the top 10 in the country| and seven of the top 10 in the state. Over the past five years| virtually all of Illinois’ academic progress is attributable to Chicago’s students.,August 16| 2017
713,Mayor Emanuel Announces Decreasing Breast Health Disparities for Chicago's African American Women,Mayor Emanuel and the Chicago Department of Public Health (CDPH) today announced advances in breast health outcomes for African American women in Chicago. Chicago demonstrated the most progress in reducing racial disparities in breast cancer mortality compared to nine other cities with the largest African American population in the U.S.| according to a new study published in Cancer Causes & Control| an international journal of studies of cancer in human populations.“Chicago is showing the nation that when you work together to improve health| we can make a difference|” Mayor Emanuel said. “Even with this progress| there is more work to be done. Every woman regardless of race or income deserves access to life-saving prevention and treatment services and we will not stop until that goal is achieved.” Between 1999 and 2013| the mortality rate from breast cancer among African American women in Chicago decreased by 13.9%. The disparity between African American and white women has been reduced by more than 20% during the same time frame. “Alleviating structural inequity is a key component of Healthy Chicago 2.0|” said Chicago Department of Public Health| Julie Morita| M.D. “Identifying the obstacles faced by African American women and working to remove them is how we save lives.”To further closer this gap| CDPH is investing $700|000 in community partners to increase comprehensive breast health services for African American women and others who have faced historical obstacles to access. CDPH is partnering with Cook County Health and Hospital System| Rush University Medical Center| Mile Square Health Center of University of Illinois Hospital & Health Sciences System| Metropolitan Chicago Breast Cancer Task Force (MBCTF)| Sinai Health System and Centro Comunitario Juan Diego to increase breast cancer screenings and ensure that high-risk| medically underserved women receive high quality follow up and treatment. These new investments help meet the goals outlined Healthy Chicago 2.0| the citywide health improvement plan| which includes increasing breast cancer screenings among older females by 5% and reducing breast cancer mortality among African Americans by 10%.Even with this progress| disparities remain as African American women in Chicago have a breast cancer mortality rate 50% higher than Non-Hispanic White women despite similar rates of diagnoses. Public health officials and community partners recognize that structural inequities may lead to minority and low-income women to receive lower quality mammography services resulting in later stage diagnosis and poorer prognosis. Implementing targeted outreach and patient-supported healthcare navigation initiatives can help address these disparities| leading to earlier diagnosis and improved healthcare outcomes.,August 16| 2017
714,Mayor Emanuel Issues Executive Order to Require City's Largest Construction Projects Commit to Hiring Diverse Workforce,Mayor Rahm Emanuel and Chicago Department of Planning and Development Commissioner David Reifman today announced many of the city’s largest construction projects will now be required to report on their efforts to solicit and hire minority- and women-owned business (MBE/WBE). The action was taken through an executive order signed today by Mayor Emanuel. “For too long many major development projects have reshaped our neighborhoods without employing the people who live in them|” Mayor Emanuel said. “This order will help ensure these major projects not only help to build Chicago| but also support the diverse mix of families that call it home.” The executive order requires developers seeking Planned Development (PD) zoning approvals by the Chicago Plan Commission to submit signed affidavits about their efforts to promote and incorporate participation by certified MBE/WBE firms and plans for local hiring.  The affidavits are to be provided at three different stages during the development process: ,August 16| 2017
715,CPD Superintendent Johnson Welcomes 111 New Police Recruits,Mayor Rahm Emanuel and Chicago Police Department (CPD) Superintendent Eddie Johnson welcomed today 111 new police recruits to the Department's Training Academy| the eighth class of new recruits this year as part of the Department’s hiring plan to add nearly 1|000 officers. As part of the hiring plan| applications open today for candidates who want the opportunity to take the CPD Entry Exam and apply to become a Chicago police officer.  “I’m immensely proud and grateful of the new police recruits who will work with our communities| block-by-block to ensure every street corner in all 77 neighborhoods belong to the children and families of Chicago|” said Mayor Emanuel. “The new class will be trained on the history of our diverse communities and our new use of force policy which focuses on de-escalation of conflict.” The August class of recruits will benefit from new training opportunities initiated this year as part of the Departments reform efforts and commitment to rebuilding trust through training that reflects the city’s values and cultural heritage. These training include| the Department's new use of force policies released this past May following month of public input| a new cultural awareness training at the DuSable Museum of African American History. The August class is 20% women and includes 60% minority recruits. In addition| eight are military veterans.  "I am proud to welcome the next generation of Chicago police officers who will be part of our efforts to provide better service to all Chicagoans and more effectively combat crime|" said CPD Superintendent Eddie Johnson. "We are committed to investing in our personnel and training to give us the resources we need to make our city and our officers safer.",August 15| 2017
716,Mayor Emanuel Opens Reconstructed Six-Way Interchange at Damen| Elston and Fullerton Avenues,Mayor Rahm Emanuel today cut the ribbon to open a reconstructed and modernized intersection at Damen| Elston and Fullerton Avenues| one of the city’s most congestion-plagued traffic hotspots. The Chicago Department of Transportation (CDOT) project realigned the intersection by building a new section of Elston Avenue that connects to Fullerton Avenue east of the original intersection. The realignment allows southeast bound Elston traffic to avoid the Damen and Fullerton intersection| significantly reducing congestion.  “For decades the intersection at Damen| Elston and Fullerton has been one of the most dangerous and congested in Chicago|” Mayor Emanuel said. “This major project is a win-win| it has created jobs and economic opportunities across the city and delivered a fully rebuilt and redesigned intersection that is moving traffic more smoothly and safely.” The new stretch of Elston Avenue includes two through lanes for vehicle traffic and protected bike lanes in both directions. Improvements also included the resurfacing of all streets within the project limits| widening Damen to improve traffic flow and better accommodate bikes| and widening the north sidewalk along Fullerton. The project will include the planting of 162 new trees| with about 50 planted to date and the rest planted in the fall. “More than 70|000 vehicles pass through this intersection each day| and at peak travel times it used to cause major inconvenience for motorists as well as pedestrians and bicyclists|” CDOT Commissioner Rebekah Scheinfeld said. “We implemented a creative solution that has rerouted Elston and synchronized traffic signals to relieve congestion| improving safety for everyone who travels through the area.” The old section of Elston south of Fullerton was renamed N. Elston Court and has been reconstructed with access at Fullerton| and with traffic calming bumpouts at Winchester. The project also created space for commercial development on both the north side and the south side of Fullerton east of Damen.  The project was originally included in the North Branch North TIF Redevelopment Plan| to facilitate economic development. Several success stories are already evident from this improvement| including the adjacent $75 million renovation of the Midtown Athletic Club| which is completing construction of a new boutique hotel later this year. Vienna Beef was able to relocate its manufacturing facility and 250 jobs to another location in Chicago and is actively reconfiguring the use of the former plant to include retail and restaurant space. AndWhirlyBall| the popular entertainment complex| has relocated to a new facility in the area at Webster just east of Damen. “Completion of the Damen| Elston| Fullerton project is exciting news for the many Chicagoans who rely on our city's connected transportation system|" said Rep. Quigley. "The addition of a new traffic intersection| as well as safe| accessible  bike lanes| will reduce congestion and allow families to get from point A to point B quickly and efficiently. Forward-thinking improvements and investments like these will continue to strengthen our infrastructure and improve the lives of those who call Chicago home." The $22.5 million construction cost was paid for through federal| state| and local funds and was managed by CDOT in coordination with the Illinois Department of Transportation. You can follow CDOT on digital media:Twitter:  @ChicagoDOTFacebook: www.facebook.com/CDOTNewsThe web: chicagodot.org,August 14| 2017
717,Statement from Mayor Emanuel on the Passing of Police Captain James Lavoy,"Our hearts are heavy today as we mourn the loss of Chicago Police Department Captain James Lavoy. Over the nearly three decades he served our city| Captain Lavoy received more than 65 commendations| awards and honorable mentions. Yet the true testament of Captain Lavoy's duty and dedication is the countless number of colleuages and Chicagoans he impacted and inspired.  Amy and I join with all Chicagoans in extending our deepest sympathies to his wife| two children and the entire CPD family.”,August 13| 2017
718,Statement from Mayor Emanuel on the State Senate's Override of Governor Rauner's Education Funding Veto,“Governor Rauner's education funding veto brought together rural| suburban and urban educators and legislators in bipartisan opposition to the governor and in support of today's veto override. This diverse group of educators and leaders knows the Senate's education bill is right for Illinois children and the governor's veto is flat wrong. I want to thank Senate President Cullerton and the state Senators who voted on behalf of students and educators. The Senate's vote is a bipartisan rejection of the governor’s divisive politics and of his repeated attempts to pit children with different backgrounds and from different parts of the state against one another.” ,August 13| 2017
719,Statement from Mayor Emanuel on Charlottesville,"We are saddened by the ongoing events in Charlottesville| and our thoughts and prayers are with the people of Virginia. As Americans our greatest strength is our diversity| and that is just as true in Chicago as it is across the country. Violence rooted in racism| bigotry and prejudice has no place in our society and must be condemned at every turn. As one of our nation’s greatest voices for justice and peace| Martin Luther King Jr.| reminded us all| ‘we must learn to live together as brothers or perish together as fools.’”,August 12| 2017
720,Community Policing Advisory Panel Releases Draft Recommendations,The Chicago Police Department (CPD) Superintendent Eddie Johnson today announced the release of the first draft of recommendations from the Superintendent’s Community Policing Advisory Panel as part of the Department’s continued reform efforts to rebuild trust with residents and strengthen public safety in every neighborhood of the city. The draft recommendations| which include ways the Police Department will build| expand and invest in community policing| are posted online and open to public comment for the next 30 days.“Community engagement and collaboration is essential to the Police Department’s reform efforts|” said Mayor Rahm Emanuel. “I appreciate the work of the Panel| and the hundreds of community members who shared their thoughts. These recommendations will work to continue to strengthen community trust and engagement| which in turn strengthens public safety and supports police in the crime fight.”The draft recommendations were developed using input from three community Town Halls| online feedback and focus groups. More than 2|200 surveys were completed by community residents and stakeholders| as well as police officers and supervisors. Panelists learned from Chicago residents| faith leaders| CPD officers| civic leaders| academic researchers| advocates| high-ranking law enforcement officials from outside Police Departments and CPS students. "A comprehensive and thoughtful approach to community policing is how CPD will build trust and meaningful partnerships with the residents we serve|” said CPD Superintendent Eddie Johnson.  "The launch of this comment period is part our commitment to implementing a community policing strategy that is created by Chicagoans for Chicagoans.  I am thankful to the CPAP panel for their hard work and I encourage every resident to have their voices heard as we finalize this important framework."   To support collaboration and transparency| CPD has posted the draft recommendations online for a 30-day public comment period| during which residents are encouraged to share comments on the Panel’s recommendations and ways for police to work in partnership with communities to implement them. Residents can share their thoughts on the Chicago Police website and in-person at three Community Conversations held on Thursday| August 10 in North Pullman| Thursday| August 17 in Rogers Park and Thursday| August 24 in East Garfield Park.  Chaired by CPD Chief of Patrol Fred Waller| the Community Policing Advisory Panel includes Deputy Mayor Andrea Zopp| national experts in the field| members of CPD Command Staff and Chicago community leaders. The report is a framework for future discussions around the key areas for action. A detailed Plan of Action will be drafted| with the inclusion of community input| on how the recommendations will be implemented and the how impact will be evaluated. The implementation plan will contain responsibilities for each Bureau| major implementation milestones and a detailed timeline for completion. Recommendations include:,August 10| 2017
721,Statement from Mayor Emanuel on the Election of Toi Hutchinson as President of the National Conference of State Legislatures,“I want to congratulate State Senator Toi Hutchinson (D-Olympia Fields) on her election as president of the National Conference of State Legislatures for the 2018-2019 term. As chair of the Senate Revenue Committee| Senator Hutchinson was incredibly instrumental in negotiating the state's first bipartisan| balanced budget in over two years. The service she has shown over the last eight years in the Illinois Senate will make her an effective advocate for state lawmakers across the nation.”,August 10| 2017
722,Mayor Emanuel and CPS Announce Record High Reading and Math Scores on National Exam,Mayor Emanuel| CPS CEO Forrest Claypool and CPS Chief Education Officer Dr. Janice K. Jackson today announced that more Chicago elementary students than ever before are meeting or exceeding standards for math and reading. For the fifth year in a row| CPS students have outscored national peers in both subjects.  A record 61.4 percent of students met or exceeded the national testing average in reading and 55.9 percent of students met or exceeded the average in math on the 2016-17 Northwest Evaluation Association Measures of Academic Progress (NWEA MAP) exam. NWEA MAP measured the academic achievement of more than 8 million students in grades 2 through 8 at more than 7|800 schools and districts across the country. “For the fifth year in a row| CPS students are meeting or beating the national average in both reading and math|” said Mayor Emanuel. “Record setting achievements like NWEA results are proof that when we raise the bar for Chicago’s students| they take pride in meeting and beating our expectations.” The percentage of CPS students meeting and exceeding the national average has increased by 34.6 percent in reading and 23.9 percent in math since 2013. With consistent gains over the past five years| CPS students are scoring higher in reading and math than their national peers. “Again| independent national data shows that Chicago students are learning and achieving at record breaking levels|” said CPS Chief Executive Officer Claypool. “By investing in schools and the resources our students need to be successful| CPS is working to put all of Chicago’s students on a path to success.” CPS students also continue to exceed national growth averages in reading and math. In 2017| 60.4 percent of students met or exceeded national averages for reading growth| and 56.7 percent of students met or exceeded averages for math growth. Any rate above 50 percent exceeds the national average for growth and signifies the substantial progress CPS students continue to make. “Chicago students have outscored their national peers for five years in a row| and we’re building on that momentum to make sure we are preparing every CPS student for success| “said CPS Chief Education Officer Jackson.  “Chicago students are breaking down barriers| changing mindsets and redefining what low income and students of color can accomplish when given the opportunity and support to succeed.”  At several CPS schools| more than 95 percent of students met or exceeded national averages in both reading and math. These schools included Lane Technical College Prep High School| Whitney M. Young Magnet High School| Annie Keller Regional Gifted Center| Skinner North Classical School| Decatur Classical Elementary School| James E. McDade Classical School| William Howard Taft High School| Kenwood Academy High School and Edison Regional Gifted Center. The NWEA results are only the latest example in several independently confirmed data points that show the tremendous improvements and remarkable achievements they are making. Most recently| a study from the University of Illinois – Chicago’s Center for Urban Education Leadership showed that Chicago students outperform their Illinois peers in every major racial and socioeconomic group.  This study came on the heels of research from Stanford University’s Sean Reardon| who found that Chicago students improve academically faster than any large urban school system in the country.  Since 2011| CPS students continue to make historic gains across a wide range of significant milestones such as “the Nation’s Report Card.” According to NAEP| CPS students were among the national leaders in gains for both eighth grade math and fourth grade reading on the national benchmark assessment in 2015.  Eighth grade CPS students achieved the greatest growth in the nation among their urban peers in math| registering growth of 6 scale-score points since 2013. Fourth graders achieved the third highest growth in the nation among their urban peers in reading with growth of 7 scale-score points since 2013. Chicago was one of only three urban districts – joining Cleveland and Miami-Dade – to have experienced academic growth in math and reading in both the fourth and eighth grades in 2015. Students have achieved historic gains in freshmen-on-track to graduate rates| as well as graduating high school and enrolling in college in record numbers.  The CPS graduation rate has climbed by more than 16 points since 2011 to 73.5 percent in 2016| and is growing more than three times faster than the national rate in the same time frame. In the same time frame| ACT scores have increased by 1.2 points across all district schools. Graduation rates have been driven in part by the district’s focus on its freshman on track to graduate rate| which was 87.4% in 2016 and up from 69% in 2011.  Mayor Emanuel and CPS continue to support student advancements by making significant investments to improve education. The transition in 2012 to the full school day and full school year ensured that students in all schools receive high levels of math and literacy instruction. CPS is also in the process of developing curriculum and sequencing for schools to adopt| expanding academic enrichment opportunities| like chess and debate| providing professional development opportunities and leveraging university partnerships to continue to implement evidence-based policies to put our students on the path to success.  Chicago Public Schools serves 381|000 students in 652 schools. It is the nation’s third-largest school district. ,August 10| 2017
723,Mayor Emanuel Announces Chicago's Riverwalk Added as Friday Night Flights Venue,Mayor Rahm Emanuel today announced Friday Night Flights| a summer-long series of events to highlight Chicago’s thriving craft beer scene| has added a special venue to its concluding series of August events – Chicago’s Riverwalk.  The city’s newest urban recreation waterfront park space and pedestrian trail along the south bank of the Chicago River will host a special Friday Night Flights event on Friday| August 18| featuring 14 breweries from across the city.   “The Friday Night Flights event will pair two of Chicago’s strongest attractions – our world-famous Riverwalk and world-renowned craft breweries|” Mayor Emanuel said. “I encourage residents from across Chicago to swing by and check out some of the best beverages our neighborhood breweries have to offer.” Friday Night Flights participants can enjoy a beer from award-winning breweries| check out the music of DJ Mike P and guitarist Griffin Crowder| sample food from Riverwalk vendors City Winery| Island Party Hut and Tiny Tap| all while taking in the city from this awe-inspiring vantage point.  Participating breweries include: Hopewell Brewing| Maplewood Brewery| Lake Effect Brewing| Begyle Brewing Company| Baderbrau| Haymarket Pub & Brewery| Band of Bohemia| Alulu Brewpub| Finch Beer Company| Motor Row Brewing| Eataly’s Birreria| Argus Brewery| Pipeworks Brewing Company and Alarmist Brewing. The event includes a tasting pass for purchase allowing participants to sample various beers from the participating breweries. Local entertainment and food for purchase will round out each Chicago Friday Night Flight experience| making each event a true taste of the neighborhoods. The August 18 Friday Night Flights will be first craft beer event on the Riverwalk. “Since its launch last May| Friday Night Flights has become a premier city showcase for Chicago’s neighborhood breweries and craft beer scene|” Mark Kelly| commissioner of Chicago’s Department of Cultural Affairs and Special Events said. “This month’s Flights at the new Riverwalk as well as the West Loop and Ravenswood events are the perfect way to bring Friday Night Flights’ inaugural year to a fun and successful close.” Produced by the Illinois Craft Brewers Guild and Choose Chicago| the six Friday Night Flights beer festivals began in June and will run through August.  The Flights showcase neighborhood breweries and celebrate Chicago’s beer scene| which has become an epicenter of the global craft beer movement. Chicago’s neighborhoods are home to more than 60 breweries featuring some of the nation’s best award-winning beers| creating a diverse array of styles.  "We look forward to promoting several of our Chicago craft breweries at the upcoming Riverwalk event and are excited about the geographic diversity that will be represented that day| said Danielle D'Alessandro| executive director of the Illinois Craft Brewers Guild. “Our brewers come from Pullman| Pilsen| the South Loop| River North| Logan Square| and Ravenswood all the up to Sauganash. The Guild appreciates the city’s support in celebrating craft beer and the impact these small businesses are making in their communities." For full details for the August schedule including the 8/11 West Loop event and the 8/25 Ravenswood Corridor event and to pre-purchase tickets visit www.chicagofridaynightflights.com. In addition to the August 18 event| the other August Friday Night Flights dates are:,August 9| 2017
724,Mayor Emanuel| CTA to Offer Students Free CTA Rides on the First Day of School,Mayor Rahm Emanuel and Chicago Transit Authority (CTA) President Dorval R. Carter| Jr.| today announced CTA will again this year provide all students and accompanying adults with free bus and train rides on the first day of Chicago Public Schools’ school year| which is Tuesday| September 5| 2017. ,August 9| 2017
725,Mayor Emanuel Celebrates the 50th Anniversary of the Chicago Picasso on Daley Plaza,Mayor Rahm Emanuel and the Chicago Department of Cultural Affairs and Special Events (DCASE) today celebrated the 50th anniversary of the Chicago Picasso at Daley Plaza. Called Everyone’s Picasso| the ceremony restaged the original 1967 unveiling of the sculpture. The Chicago Picasso is considered to be artist Pablo Picasso’s first large-scale civic sculpture in America. “Chicago’s Picasso exemplifies the lasting legacy public art has on the fabric of our city|” said Mayor Rahm Emanuel. “A fitting anniversary as part of the 2017 Year of Public Art| the Picasso has inspired artists| sculptors| painters and poets to make the City of Chicago a global hub for culture and art.” While the Picasso attracted mixed reviews when it was unveiled on August 15| 1967| it has since become an enduring influence on Chicago’s public art. It has been featured in popular films like The Blues Brothers| The Fugitive| and Ferris Bueller’s Day Off. Now a beloved symbol of Chicago| the Picasso is central to hundreds of events in Daley Plaza| including creative arts performances and farmers markets. “Chicago’s reputation as an innovator and leader in the presentation of public art continues to this day|” said DCASE Commissioner Mark Kelly. “The Picasso helped spark Chicago’s legacy of public art and has inspired artists across the world for decades.” The commemoration ceremony| called Everyone’s Picasso| was conceived by artist and historian Paul Durica. Participation from contemporary arts leaders and artists included readings and performances by Nora Blakely| Orbert Davis| Tatsu Aoki| Avery R. Young and Edra Soto. The program also included youth performances by the Chicago Children’s Choir and the After School Matters Orchestra. Additionally| YouMedia teens interviewed attendees while in character as the legendary Studs Terkel. An additional free-admission film and lecture series will celebrate the 50th anniversary of Chicago’s Picasso at the Chicago Cultural Center (78 E. Washington St.). The Public Art Film Series on August 12 and 13 at 2pm and August 14 and 15 at 6:30pm will feature films providing a time capsule to when public art| murals and sculpture were just beginning to take form in Chicago. The August 15 screening will include a film related to Picasso’s 1967 dedication. Also on August 15| at 12:15pm| cultural historian Paul Durica will moderate a conversation with Chicago artists| YouMedia teens and representatives from the Studs Terkel Radio Archive on “50 Years Later: Reflections on Chicago’s Picasso.” The Picasso is a Chicago icon attracting visitors from around the world. The renowned sculpture stands 50 feet tall on a base of granite and is constructed of the same Cor-Ten steel as the building behind it. In the 1960s| at the request of William Hartmann| Senior Partner at Skidmore| Owings and Merrill (SOM)| Picasso designed the monumental artwork to relate to the Civic Center on what is known today as Daley Plaza. In recognition of the 50th anniversary of both the Picasso and the Wall of Respect that once stood at 43rd Street and Langley Avenue| 2017 has been designated the “Year of Public Art” with a new 50x50 Neighborhood Arts Project| the creation of a Public Art Youth Corps| a new Public Art Festival| exhibitions| performances| tours and more—representing a $1.5 million investment in artist-led community projects. Guided by the Chicago Cultural Plan| Mayor Emanuel has outlined a citywide vision for art and culture that has incorporated public art into projects at a variety of City departments—including DCASE as well as the Department of Transportation| Chicago Park District| Chicago Public Library and Chicago Transit Authority| among others. Grant support for the Year of Public Art is provided by Allstate Insurance Company and Terra Foundation for American Art. The Chicago Public Art Collection managed by DCASE includes more than 500 works of art exhibited in over 150 municipal facilities around the city| such as police stations| libraries| and CTA stations. The Collection provides the citizens of Chicago with an improved public environment and enhances city buildings and spaces with quality works of art by professional artists. DCASE also administers the City’s Percent-for-Art Ordinance established in 1978| which stipulates that 1.33% of the cost of constructing or renovating public buildings will be used for public art.,August 8| 2017
726,Mayor Emanuel Congratulates Youth on Completing 2017 Summer Jobs Program,Mayor Rahm Emanuel today joined One Summer Chicago youth working at an urban garden job site to congratulate them on completing the 2017 jobs program. For the past seven weeks| 31|000 youth ages 14-24 have been working at similar work sites across the City in opportunities ranging from food service to hospital work to computer programming and more. “These opportunities were more than a job. It was the chance to learn valuable life skills the youth will carry with them long after the summer has ended|” said Mayor Rahm Emanuel. “I want to congratulate all of the kids who participated in the program. You made a commitment; put in the time and have taken an important step forward on your path to future success.”  About 30 youth participated in the Growing Power urban garden program at Roosevelt Square Farm this summer. Managed by After School Matters| the program allowed youth to plant organic vegetables| herbs| and flowers. By participating in all phases of production: watering| weeding| harvesting| pest management| data collection| packaging| and sales; the youth learned the importance of and skills required to create sustainable food systems.  They also took part in nutrition| hunger| and food advocacy activities to help cultivate good stewardship of community environments. This season| One Summer Chicago opportunities were offered at nearly 3|000 jobs sites| like Growing Power| with new private sector partnerships including Rush University Medical Center and Potbelly’s. For several youth| employment in the private sector will extend beyond the summer with Potbelly’s hiring about 25 of its youth participants and the Hilton hiring five youth who graduated from their 30-hour hospitality curriculum.     “Not only are youth gaining summer employment and life skills| but some private sector businesses are stepping up and hiring our youth on a more permanent basis|” said Department of Family and Support Services (DFSS) Commissioner Lisa Morrison Butler. “This shows that One Summer Chicago is so much more than just a summer jobs program.The Infrastructure Team| a subset of One Summer Chicago| employed nearly 600 youth again this summer. Through DFSS| the Department of Streets and Sanitation (DSS)| and the Chicago Department of Transportation (CDOT)| youth were provided with leadership and other skillsets by involving them in daily work to help beautify Chicago neighborhoods. The team collectively: ,August 8| 2017
727,Statement from Mayor Emanuel on Chicago's Selection as Top Restaurant City of the Year by Bon Appetit Magazine,"From the James Beard Awards to today’s recognition| people throughout the world are finding out what Chicago’s residents have always known – the Second City's restaurants are second to none.,August 8| 2017
728,Statement from Mayor Emanuel on Walter Payton and Northside College Prep Being Named the Best Two Public High Schools in the United States,Newly released data by Niche| which analyzes school data across the country| ranked two Chicago Public Schools (CPS) high schools as being the best two public high schools in the nation. In total| three CPS high schools were ranked among the top 10 nationally. Five of CPS high schools were ranked among the top 10 in Illinois. “I am so proud of the great work by principals| teachers and students in these high schools| from Walter Payton to Northside Prep to Whitney Young| and throughout Chicago Public Schools. They are proving to everyone what those of us in Chicago have long known| Chicago students always succeed when we invest in their success|” said Mayor Emanuel. “Our principals| our teachers and the nearly 400|000 children they serve deserve the support of their governor and the state of Illinois as they continue to make incredible academic gains and outperform their peers across the country. So do their peers across Illinois| which is why school superintendents across Illinois support SB1| it's why editorial boards across Illinois support SB1 and it's why the governor himself agrees with 90 percent of SB1."Best public high schools in the United States#1 - Walter Payton College Prep#2 - Northside College Prep#6 - Whitney Young High SchoolBest public high schools in Illinois#1 - Walter Payton College Prep#2 - Northside College Prep#5 - Whitney Young High School#9 - Jones College Prep#10 - Lane Tech College Prep ,August 7| 2017
